,stockiid,Booling,Unnamed: 2,追隨外資,Unnamed: 4,追隨投信,Unnamed: 6,KD 交叉,Unnamed: 8,MACD 交叉,Unnamed: 10,均線交叉,Unnamed: 12,type
0,1101,-5.93%,27,17.57%,116,385.12%,190,72.88%,49,8.80%,14,63.80%,50,水泥工業
1,1102,36.91%,17,17.04%,181,-277.12%,167,92.20%,49,8.01%,15,33.73%,41,水泥工業
2,1103,105.79%,18,73.49%,151,0.00%,0,161.79%,42,33.37%,16,62.59%,42,水泥工業
3,1104,-58.79%,32,-3.75%,47,0.00%,0,36.49%,47,-23.72%,15,-1.55%,39,水泥工業
4,1108,5.31%,33,-102.08%,84,0.00%,0,73.34%,49,-9.99%,14,-9.69%,40,水泥工業
5,1109,85.77%,23,-39.83%,89,0.00%,0,114.64%,53,25.84%,14,67.05%,43,水泥工業
6,1110,112.87%,46,-18.12%,16,0.00%,0,24.39%,61,-16.49%,13,44.73%,46,水泥工業
7,1201,35.04%,25,198.10%,141,52.21%,3,106.56%,48,20.92%,18,12.69%,37,食品工業
8,1203,34.31%,19,25.69%,84,0.00%,0,26.18%,52,9.32%,19,36.98%,44,食品工業
9,1210,98.06%,19,282.63%,141,92.21%,48,83.83%,53,-2.65%,14,57.78%,48,食品工業
10,1213,-47.41%,40,-38.43%,5,0.00%,0,10.65%,38,-46.29%,10,-28.23%,30,食品工業
11,1215,-75.55%,25,199.55%,111,177.82%,64,101.36%,47,-15.17%,15,23.26%,42,食品工業
12,1216,29.04%,17,-13.53%,205,-167.23%,141,63.12%,50,3.52%,18,32.39%,43,食品工業
13,1217,39.40%,21,-29.48%,221,0.00%,0,52.70%,50,29.63%,19,25.87%,45,食品工業
14,1218,128.83%,18,-199.98%,200,0.00%,0,151.17%,45,68.06%,14,-9.76%,39,食品工業
15,1219,43.86%,25,165.50%,95,0.00%,0,27.31%,46,18.38%,19,31.47%,42,食品工業
16,1220,-16.31%,26,19.88%,39,0.00%,0,23.48%,48,-27.55%,18,-4.06%,39,食品工業
17,1225,-20.43%,21,-112.29%,67,0.00%,0,62.66%,41,1.45%,12,-22.57%,35,食品工業
18,1227,-30.20%,28,-599.07%,163,13.02%,17,51.93%,46,-8.40%,13,-19.71%,44,食品工業
19,1229,55.26%,14,374.24%,143,61.60%,34,90.94%,48,24.06%,14,29.75%,39,食品工業
20,1231,8.69%,24,89.05%,189,0.00%,1,63.19%,44,7.67%,12,22.02%,43,食品工業
21,1232,33.26%,13,46.23%,92,-5.51%,5,53.96%,48,26.92%,13,40.46%,42,食品工業
22,1233,-16.15%,28,-46.69%,38,0.00%,0,4.04%,56,3.11%,16,13.90%,50,食品工業
23,1234,19.31%,18,-29.48%,65,0.00%,0,26.48%,51,-3.16%,16,3.24%,41,食品工業
24,1235,29.91%,23,-290.34%,40,0.00%,0,50.32%,50,25.27%,17,-6.90%,51,食品工業
25,1236,-19.28%,30,-60.61%,11,0.00%,0,9.98%,57,-32.52%,17,-4.97%,44,食品工業
26,1256,115.34%,15,102.47%,75,-16.50%,4,109.70%,47,8.48%,16,57.64%,45,食品工業
27,1301,34.99%,18,-417.53%,184,-136.74%,160,50.02%,49,-12.48%,18,-3.71%,45,塑膠工業
28,1303,-29.07%,23,-160.71%,230,142.10%,168,61.87%,50,-5.91%,21,11.93%,47,塑膠工業
29,1304,94.73%,31,-3.02%,150,-90.07%,9,55.26%,44,11.65%,18,-37.56%,37,塑膠工業
30,1305,120.86%,19,-182.95%,119,-301.55%,67,123.30%,51,19.06%,16,20.75%,50,塑膠工業
31,1307,17.45%,41,-174.18%,102,-8.77%,1,27.75%,49,-34.52%,15,8.96%,44,塑膠工業
32,1308,-19.57%,24,256.53%,228,0.00%,0,15.00%,47,5.78%,16,58.75%,37,塑膠工業
33,1309,-3.93%,25,-39.34%,163,-17.01%,3,127.57%,45,-11.63%,16,-9.85%,38,塑膠工業
34,1310,135.10%,21,-16.43%,154,-128.29%,28,82.83%,51,7.00%,17,-18.89%,46,塑膠工業
35,1312,100.13%,24,75.42%,114,-65.50%,75,113.91%,44,12.11%,18,-13.76%,42,塑膠工業
36,1313,-7.21%,20,226.68%,152,-45.40%,3,69.35%,47,-26.90%,14,32.96%,47,塑膠工業
37,1314,45.31%,31,307.39%,141,0.24%,39,82.33%,45,15.18%,16,28.51%,44,塑膠工業
38,1315,51.14%,25,4.06%,37,0.00%,0,50.75%,52,21.14%,15,71.81%,50,塑膠工業
39,1316,6.23%,26,96.29%,136,0.00%,0,95.04%,44,-43.45%,15,43.02%,48,建材營造
40,1319,61.38%,29,12.83%,119,-159.11%,49,61.63%,46,-1.81%,17,4.67%,43,汽車工業
41,1321,119.80%,26,264.84%,161,0.00%,0,67.81%,44,30.95%,13,3.59%,42,塑膠工業
42,1323,18.25%,23,362.38%,171,-6.35%,3,35.47%,47,-1.20%,14,33.72%,46,塑膠工業
43,1324,7.46%,33,46.07%,23,0.00%,0,29.01%,53,-15.01%,18,28.23%,40,塑膠工業
44,1325,-76.26%,46,552.71%,21,0.00%,4,110.37%,49,-9.12%,13,53.75%,31,塑膠工業
45,1326,32.52%,23,113.61%,165,23.70%,179,26.70%,43,-28.51%,19,-0.36%,46,塑膠工業
46,1337,-65.58%,30,-198.46%,121,0.00%,0,38.81%,45,-61.47%,15,-125.07%,42,塑膠工業
47,1338,-6.10%,23,284.25%,170,0.00%,0,25.53%,52,-12.80%,17,45.47%,48,汽車工業
48,1339,145.93%,20,-37.48%,122,0.00%,0,80.01%,47,48.34%,17,48.58%,46,汽車工業
49,1340,-431.13%,31,-239.52%,129,0.00%,0,15.34%,50,-62.77%,15,-108.96%,42,塑膠工業
50,1341,18.79%,8,0.00%,3,0.00%,0,21.54%,23,9.35%,6,19.25%,21,塑膠工業
51,1402,30.98%,22,-969.90%,193,267.48%,149,63.22%,43,7.49%,17,9.55%,40,紡織纖維
52,1409,-4.89%,23,-89.07%,157,-56.58%,6,74.81%,50,-29.00%,15,80.11%,50,紡織纖維
53,1410,116.00%,24,-39.86%,68,0.00%,0,75.81%,38,2.11%,20,22.09%,47,紡織纖維
54,1413,-26.49%,27,154.06%,70,0.00%,0,97.46%,48,-32.87%,13,57.57%,46,紡織纖維
55,1414,76.27%,20,49.67%,77,0.00%,0,54.83%,50,-10.96%,15,22.70%,41,紡織纖維
56,1416,-238.67%,29,31.98%,71,0.00%,0,-20.61%,53,-39.10%,14,-9.05%,43,紡織纖維
57,1417,101.30%,24,1780.45%,162,0.00%,0,106.14%,42,3.88%,16,54.93%,40,紡織纖維
58,1418,945.62%,25,0.00%,0,0.00%,0,53.48%,32,13.57%,11,107.04%,31,紡織纖維
59,1419,71.46%,25,-157.47%,57,0.00%,0,49.65%,46,24.34%,18,39.67%,51,紡織纖維
60,1423,94.01%,24,-190.93%,64,0.00%,0,70.87%,47,30.25%,18,2.90%,36,紡織纖維
61,1432,90.55%,40,-906.28%,94,0.00%,0,62.44%,46,-55.28%,14,-40.39%,44,貿易百貨
62,1434,41.75%,15,-254.60%,203,378.59%,59,63.78%,44,16.66%,17,41.19%,43,紡織纖維
63,1435,53.68%,18,-34.95%,20,0.00%,0,76.00%,52,16.17%,17,12.83%,38,其他
64,1436,43.12%,26,-114.36%,29,0.00%,0,52.95%,51,-4.69%,17,35.67%,55,建材營造
65,1437,58.70%,21,22.12%,179,0.00%,0,85.23%,47,2.05%,15,13.80%,43,其他
66,1438,-5.42%,10,196.30%,17,0.00%,0,155.35%,53,36.14%,17,103.03%,52,建材營造
67,1439,101.26%,20,-356.12%,150,0.00%,0,172.15%,48,16.84%,19,54.73%,45,紡織纖維
68,1440,-173.05%,29,-400.57%,171,0.00%,0,49.70%,45,-11.14%,18,-0.70%,39,紡織纖維
69,1441,153.38%,35,-144.13%,52,0.00%,0,194.14%,43,133.70%,18,66.02%,43,紡織纖維
70,1442,16.22%,24,-783.70%,180,0.00%,0,55.89%,47,-19.13%,17,0.13%,38,建材營造
71,1443,-22.73%,22,19.97%,17,0.00%,0,87.96%,52,35.59%,16,78.81%,51,紡織纖維
72,1444,11.55%,21,60.45%,212,0.00%,1,91.74%,47,-22.94%,17,51.97%,48,紡織纖維
73,1445,16.98%,48,20.02%,28,0.00%,0,5.86%,48,-13.76%,14,12.35%,51,紡織纖維
74,1446,105.02%,21,-83.56%,71,0.00%,0,95.22%,47,7.46%,15,54.71%,42,紡織纖維
75,1447,81.45%,34,158.97%,185,0.00%,0,38.32%,49,-7.06%,16,-11.88%,42,紡織纖維
76,1449,200.70%,48,-100.24%,53,0.00%,0,130.28%,47,83.67%,15,108.55%,53,紡織纖維
77,1451,-376.38%,33,94.57%,123,68.71%,9,25.67%,44,-32.57%,13,25.89%,37,紡織纖維
78,1452,14.08%,29,-42.49%,127,0.00%,9,16.39%,49,2.56%,14,1.25%,41,紡織纖維
79,1453,-67.32%,27,-10.89%,27,0.00%,0,49.89%,47,3.94%,16,43.62%,46,紡織纖維
80,1454,59.59%,38,-9.66%,37,0.00%,0,38.66%,49,17.62%,19,14.25%,45,紡織纖維
81,1455,77.53%,29,-290.60%,163,-18.39%,2,47.30%,52,-0.38%,16,-12.83%,45,紡織纖維
82,1456,-28.82%,25,-166.32%,13,0.00%,0,33.84%,50,-3.71%,14,31.32%,44,紡織纖維
83,1457,17.96%,16,-8.85%,164,17.99%,2,76.08%,47,-6.56%,16,58.50%,47,紡織纖維
84,1459,99.26%,27,-8.76%,89,0.00%,0,29.45%,45,7.71%,16,-2.63%,40,紡織纖維
85,1460,52.26%,36,67.26%,219,0.00%,0,34.04%,46,-20.14%,17,-19.67%,38,紡織纖維
86,1463,-88.01%,28,-295.70%,125,-45.15%,4,3.50%,48,-49.49%,11,-29.49%,34,紡織纖維
87,1464,-28.89%,29,120.52%,164,-11.74%,1,41.57%,47,-26.21%,15,49.94%,50,紡織纖維
88,1465,129.58%,24,12.49%,34,0.00%,0,87.99%,47,70.72%,18,-0.43%,41,紡織纖維
89,1466,-33.62%,31,-22.76%,20,0.00%,0,21.72%,50,-15.40%,15,-15.53%,49,紡織纖維
90,1467,203.20%,22,2.10%,101,0.00%,0,75.57%,52,40.45%,17,46.63%,41,紡織纖維
91,1468,117.27%,23,6.62%,14,0.00%,0,56.40%,49,74.46%,22,41.13%,47,紡織纖維
92,1470,64.21%,15,-35.67%,12,0.00%,0,9.95%,41,23.34%,13,70.15%,41,紡織纖維
93,1471,156.15%,39,158.14%,32,0.00%,0,229.71%,43,102.88%,16,35.40%,40,電子零組件業
94,1472,-708.05%,30,39.01%,34,0.00%,0,123.24%,48,-1.30%,13,119.90%,41,紡織纖維
95,1473,-128.15%,30,-244.69%,106,0.00%,0,67.74%,45,-36.95%,11,-33.34%,40,紡織纖維
96,1474,12.43%,25,-3.26%,104,0.00%,0,41.01%,44,-1.29%,16,19.44%,39,紡織纖維
97,1475,1706.40%,25,447.66%,12,0.00%,0,571.64%,39,340.41%,13,-34.94%,40,紡織纖維
98,1476,28.47%,25,-266.24%,146,-58.80%,143,120.80%,47,21.49%,19,18.83%,48,紡織纖維
99,1477,-23.30%,23,1438.37%,201,129.24%,101,97.67%,49,43.36%,18,14.13%,42,紡織纖維
100,1503,37.35%,15,-25.55%,107,0.00%,0,63.19%,46,8.91%,22,50.94%,47,電機機械
101,1504,-74.54%,27,-195.03%,147,292.78%,38,58.31%,47,-17.81%,17,25.65%,48,電機機械
102,1506,57.88%,36,-46.03%,82,0.00%,0,34.42%,52,-18.24%,16,51.00%,46,電機機械
103,1507,62.74%,31,1406.82%,224,-132.02%,12,62.73%,51,42.67%,16,30.69%,48,電機機械
104,1512,-55.51%,42,-130.51%,47,0.00%,2,149.23%,50,39.99%,16,25.44%,43,汽車工業
105,1513,78.48%,22,-302.46%,218,-10.70%,2,73.14%,45,7.25%,16,35.34%,43,電機機械
106,1514,77.31%,11,216.02%,183,-5.15%,1,166.48%,48,62.52%,16,62.10%,36,電機機械
107,1515,177.88%,20,541.00%,113,161.77%,46,228.46%,53,-0.80%,11,103.93%,42,電機機械
108,1516,-35.93%,29,-102.38%,13,0.00%,0,64.06%,47,-9.66%,18,7.66%,49,其他
109,1517,-6.97%,28,-115.45%,90,0.00%,0,40.32%,51,-9.99%,15,-20.07%,41,電機機械
110,1519,100.44%,15,1199.99%,164,1.79%,7,92.50%,48,69.60%,18,63.52%,47,電機機械
111,1521,-94.84%,29,-36.32%,112,-0.86%,1,39.51%,46,-38.60%,15,-1.91%,41,汽車工業
112,1522,-25.47%,29,-275.84%,175,-24.17%,1,69.70%,50,-4.76%,12,-0.33%,49,汽車工業
113,1524,30.62%,22,6.06%,93,0.00%,0,-5.68%,53,-19.17%,18,6.45%,43,汽車工業
114,1525,33.07%,34,-269.53%,94,-137.62%,20,38.22%,50,-62.77%,15,-26.34%,42,汽車工業
115,1526,-138.64%,27,284.30%,101,0.00%,0,193.89%,47,9.32%,12,38.81%,46,電機機械
116,1527,-332.10%,37,-386.37%,102,-131.31%,9,44.05%,54,-50.84%,14,6.05%,43,電機機械
117,1528,-104.78%,24,-355.49%,119,0.00%,0,89.93%,49,1.70%,16,6.36%,43,電機機械
118,1529,1779.50%,36,-115.22%,30,0.00%,0,531.57%,50,623.18%,12,675.87%,46,電機機械
119,1530,-8.74%,17,-96.95%,40,0.00%,0,50.33%,47,18.45%,15,19.34%,42,電機機械
120,1531,4.57%,30,605.38%,142,-53.17%,3,71.45%,46,-7.06%,13,-29.46%,42,電機機械
121,1532,58.99%,29,-4.93%,144,14.87%,24,29.81%,49,-6.61%,14,22.37%,44,電機機械
122,1533,72.58%,34,-62.00%,166,0.00%,0,66.48%,51,-0.95%,18,45.51%,52,汽車工業
123,1535,-107.44%,30,-160.82%,76,0.00%,0,37.82%,52,-47.05%,15,-4.68%,40,電機機械
124,1536,71.36%,27,-229.82%,136,-269.56%,120,91.93%,51,1.69%,18,18.45%,44,汽車工業
125,1537,13.59%,17,1234.30%,247,-7.19%,16,44.76%,46,0.20%,19,0.89%,43,電機機械
126,1538,-117.65%,32,-30.40%,23,0.00%,0,135.17%,46,57.68%,17,45.91%,46,電機機械
127,1539,-2.76%,29,173.03%,59,0.00%,0,37.15%,47,-55.83%,15,17.74%,44,電機機械
128,1540,-17.23%,19,86.37%,66,0.00%,0,37.99%,50,-8.51%,12,41.62%,41,電機機械
129,1541,122.47%,26,-183.69%,49,-10.51%,1,148.49%,44,-5.31%,16,40.62%,47,電機機械
130,1558,2.12%,30,-88.38%,127,-2.73%,3,-3.37%,56,-11.35%,18,9.50%,40,電機機械
131,1560,74.15%,21,483.44%,152,198.91%,53,60.48%,48,-4.56%,18,19.77%,42,電機機械
132,1568,-187.50%,26,100.88%,147,169.83%,15,56.97%,51,-12.62%,15,6.12%,55,汽車工業
133,1582,213.28%,29,-547.12%,182,-21.31%,2,85.17%,44,17.49%,14,-23.87%,36,電子零組件業
134,1583,25.60%,19,-165.84%,32,0.00%,0,27.18%,51,-17.32%,19,57.84%,48,電機機械
135,1587,27.21%,22,-10.91%,9,0.00%,0,14.17%,35,-15.42%,10,-0.53%,26,汽車工業
136,1589,35.10%,28,-388.11%,140,147.73%,31,133.89%,42,-55.83%,20,-20.91%,40,電機機械
137,1590,83.88%,19,939.89%,157,470.31%,138,154.07%,49,66.46%,16,103.53%,46,電機機械
138,1592,-338.68%,35,-119.31%,138,-106.49%,6,-13.07%,51,-56.61%,16,-41.99%,45,汽車工業
139,1598,16.94%,27,174.32%,104,-124.90%,17,88.58%,51,-9.24%,13,-22.50%,36,生技醫療業
140,1603,70.17%,37,41.82%,51,0.00%,0,39.74%,46,17.16%,14,42.23%,42,電器電纜
141,1604,-70.76%,28,187.73%,143,1.71%,1,70.73%,51,-6.22%,13,-43.67%,39,電器電纜
142,1605,-20.50%,22,709.52%,148,0.88%,44,165.47%,42,-20.95%,16,-27.13%,40,電器電纜
143,1608,154.08%,21,147.09%,173,0.00%,0,92.30%,51,15.59%,18,35.23%,45,電器電纜
144,1609,111.48%,21,686.30%,179,-3.08%,9,175.01%,49,42.73%,17,110.41%,45,電器電纜
145,1611,123.34%,23,739.25%,185,1.25%,1,120.88%,43,8.04%,18,34.61%,41,電器電纜
146,1612,29.75%,25,202.62%,157,0.00%,0,84.49%,51,8.49%,16,25.16%,42,電器電纜
147,1614,74.58%,35,-31.98%,74,0.00%,0,61.09%,52,17.14%,13,60.81%,51,電器電纜
148,1615,136.08%,14,652.47%,48,0.00%,0,129.02%,44,30.62%,17,65.70%,39,電器電纜
149,1616,32.59%,28,-129.44%,38,0.00%,0,75.56%,52,-6.11%,16,1.72%,37,電器電纜
150,1617,31.90%,26,241.91%,51,0.00%,0,86.70%,47,-10.43%,15,105.68%,35,電器電纜
151,1618,121.09%,30,-42.40%,68,0.00%,0,75.48%,49,1.89%,15,21.46%,46,電器電纜
152,1626,30.28%,23,308.50%,99,-30.31%,5,140.98%,48,-19.85%,14,55.99%,40,電器電纜
153,1701,48.39%,14,-332.84%,194,0.00%,1,49.87%,57,-12.60%,15,35.15%,39,生技醫療業
154,1702,16.00%,33,113.95%,158,-84.70%,39,53.11%,48,-5.90%,18,-24.37%,49,食品工業
155,1707,137.15%,27,-160.18%,152,718.73%,83,91.11%,50,29.41%,17,26.34%,49,生技醫療業
156,1708,48.05%,25,-274.04%,160,-13.23%,13,40.47%,50,-14.04%,20,14.36%,43,化學工業
157,1709,-84.70%,33,37.58%,118,-3.28%,2,51.94%,45,-2.67%,17,9.24%,46,化學工業
158,1710,71.51%,25,-670.31%,176,-391.24%,43,83.57%,44,-12.18%,17,-20.87%,43,化學工業
159,1711,45.13%,30,-441.72%,240,0.00%,0,45.19%,42,-11.55%,15,21.81%,44,化學工業
160,1712,18.69%,14,0.86%,166,-12.22%,7,38.25%,55,17.32%,16,41.97%,39,化學工業
161,1713,32.04%,24,50.15%,36,0.00%,0,36.21%,54,9.35%,17,39.28%,46,化學工業
162,1714,47.22%,26,-453.93%,195,0.00%,2,65.81%,42,28.82%,21,44.35%,46,化學工業
163,1717,-3.24%,20,-168.20%,163,536.13%,36,26.25%,50,-14.71%,14,14.73%,42,化學工業
164,1718,21.77%,21,-181.50%,159,0.00%,0,111.43%,50,-19.33%,16,2.36%,43,化學工業
165,1720,48.98%,22,316.69%,165,-3.76%,2,63.29%,46,9.80%,18,55.06%,43,生技醫療業
166,1721,19.24%,37,-155.92%,144,0.00%,0,25.92%,51,-53.71%,15,0.29%,45,化學工業
167,1722,74.94%,19,-102.99%,141,38.96%,80,57.69%,44,31.96%,17,11.31%,45,化學工業
168,1723,-1.37%,25,24.39%,204,5.19%,13,18.32%,52,-8.40%,15,19.41%,43,化學工業
169,1724,13.14%,25,-30.11%,17,0.00%,0,10.99%,52,-17.32%,18,-1.20%,40,化學工業
170,1725,39.30%,16,-58.17%,27,0.00%,0,31.41%,52,16.61%,17,53.96%,37,化學工業
171,1726,-2.52%,24,46.32%,214,0.00%,0,12.35%,47,-9.98%,17,-2.84%,48,化學工業
172,1727,-23.60%,38,106.04%,43,0.00%,0,46.82%,45,-26.76%,17,1.59%,41,化學工業
173,1730,39.23%,15,420.52%,119,0.00%,0,61.58%,53,-5.81%,15,55.10%,46,化學工業
174,1731,79.96%,24,-194.21%,97,0.00%,0,21.59%,50,5.78%,20,18.30%,36,生技醫療業
175,1732,34.24%,30,127.99%,29,0.00%,0,68.72%,53,-16.97%,18,71.42%,37,化學工業
176,1733,30.06%,26,58.63%,147,31.01%,9,35.50%,47,-16.64%,13,11.80%,51,生技醫療業
177,1734,50.59%,29,208.47%,207,0.00%,0,31.21%,50,-5.56%,15,34.20%,41,生技醫療業
178,1735,69.60%,22,-31.10%,22,0.00%,0,40.56%,46,-26.54%,14,43.60%,44,化學工業
179,1736,-8.82%,28,1052.04%,97,-57.10%,16,124.86%,44,-11.72%,11,68.89%,44,生技醫療業
180,1737,11.91%,27,-318.18%,120,1.69%,1,34.45%,52,18.11%,15,25.62%,43,食品工業
181,1760,297.33%,14,-201.18%,65,34.28%,35,207.52%,34,38.49%,11,30.21%,33,生技醫療業
182,1762,181.37%,22,137.07%,124,55.51%,8,168.92%,47,90.75%,18,61.64%,46,生技醫療業
183,1773,39.43%,16,57.77%,159,-41.57%,16,91.94%,49,8.82%,13,94.40%,46,化學工業
184,1776,-11.35%,22,-69.27%,8,0.00%,0,4.63%,51,-28.20%,16,52.77%,51,化學工業
185,1783,326.80%,26,84.08%,120,0.00%,0,129.25%,50,25.74%,15,42.27%,46,生技醫療業
186,1786,134.93%,26,245.86%,104,-37.78%,2,195.04%,46,9.64%,14,-12.93%,43,生技醫療業
187,1789,19.48%,25,-1101.31%,237,-16.76%,2,113.46%,46,4.55%,17,-22.36%,43,生技醫療業
188,1795,24.27%,3,68.07%,18,-14.79%,4,30.19%,6,45.45%,1,-22.39%,7,生技醫療業
189,1802,4.02%,22,468.07%,176,-343.49%,47,58.36%,51,-28.84%,13,-49.28%,42,玻璃陶瓷
190,1805,220.95%,39,-2.88%,33,0.00%,0,73.49%,52,7.63%,12,85.59%,35,建材營造
191,1806,0.26%,36,21.95%,70,0.00%,0,34.87%,47,-24.61%,11,10.40%,48,玻璃陶瓷
192,1808,-5.64%,22,533.36%,188,56.75%,2,103.83%,48,8.83%,15,15.53%,39,建材營造
193,1809,83.41%,23,-184.30%,153,0.00%,0,73.20%,50,-14.33%,15,47.48%,38,玻璃陶瓷
194,1810,-15.34%,23,-45.53%,160,0.00%,0,20.96%,43,-19.18%,17,8.88%,47,玻璃陶瓷
195,1817,18.46%,29,406.01%,114,-2.18%,5,37.11%,50,-18.92%,15,-8.43%,51,玻璃陶瓷
196,1902,78.14%,17,205.67%,189,0.00%,0,83.29%,48,4.84%,17,108.58%,41,造紙工業
197,1903,55.51%,19,-88.12%,65,0.00%,0,32.45%,53,20.98%,15,67.46%,52,造紙工業
198,1904,86.83%,25,-113.38%,189,-184.77%,30,120.98%,46,18.64%,13,61.56%,40,造紙工業
199,1905,-61.47%,30,-80.44%,139,-50.36%,5,62.69%,47,-12.22%,15,32.97%,46,造紙工業
200,1906,31.08%,23,-77.89%,128,0.00%,2,95.14%,46,-33.84%,16,-4.04%,45,造紙工業
201,1907,46.96%,20,-184.24%,226,-43.83%,3,93.32%,46,9.72%,18,55.40%,40,造紙工業
202,1909,5.96%,21,-197.08%,136,1615.37%,103,143.62%,50,8.37%,16,-16.58%,38,造紙工業
203,2002,10.07%,17,-369.87%,249,-860.31%,115,7.47%,51,-9.25%,16,3.97%,45,鋼鐵工業
204,2006,21.82%,19,-94.74%,159,-16.88%,33,63.00%,47,-0.45%,13,0.26%,40,鋼鐵工業
205,2007,156.71%,45,-39.69%,38,0.00%,0,98.39%,45,-40.96%,17,19.16%,37,鋼鐵工業
206,2008,17.08%,20,38.39%,49,0.00%,0,29.79%,58,-1.00%,20,45.59%,47,鋼鐵工業
207,2009,81.15%,23,306.30%,136,0.00%,1,136.83%,49,2.31%,17,16.91%,38,鋼鐵工業
208,2010,-13.62%,33,101.39%,79,0.44%,1,16.61%,52,-15.44%,18,-8.48%,40,鋼鐵工業
209,2012,-24.52%,36,8.64%,36,0.00%,0,27.97%,49,5.59%,13,19.49%,41,鋼鐵工業
210,2013,83.25%,25,-4.35%,183,-3.91%,1,161.35%,43,92.25%,15,21.67%,45,鋼鐵工業
211,2014,22.40%,23,556.29%,210,-51.44%,26,45.72%,43,-15.96%,15,49.90%,44,鋼鐵工業
212,2015,6.16%,17,142.77%,97,-102.70%,30,58.36%,54,16.19%,15,-5.81%,43,鋼鐵工業
213,2017,-76.83%,24,261.34%,90,0.00%,0,-30.84%,51,-44.14%,14,56.67%,49,鋼鐵工業
214,2020,63.30%,21,177.63%,121,0.00%,1,64.25%,49,-14.36%,19,42.86%,40,鋼鐵工業
215,2022,2.93%,24,432.89%,139,0.00%,0,72.73%,44,-30.95%,15,63.12%,40,鋼鐵工業
216,2023,-27.34%,33,-18.72%,173,-64.93%,9,20.48%,46,5.31%,17,50.84%,52,鋼鐵工業
217,2024,78.96%,18,-127.10%,59,0.00%,0,64.01%,44,37.64%,20,43.77%,42,鋼鐵工業
218,2025,-177.21%,26,0.00%,0,0.00%,0,60.90%,38,27.16%,14,105.22%,41,鋼鐵工業
219,2027,58.82%,17,-134.82%,188,418.34%,59,126.38%,50,46.44%,17,76.76%,46,鋼鐵工業
220,2028,84.91%,22,-41.20%,76,0.00%,0,106.27%,45,-21.76%,15,84.56%,46,鋼鐵工業
221,2029,-218.68%,28,99.13%,67,44.92%,4,1.91%,46,-27.98%,17,-14.34%,41,鋼鐵工業
222,2030,16.69%,28,1211.41%,133,-3.17%,1,58.37%,53,26.25%,17,14.46%,37,鋼鐵工業
223,2031,126.64%,22,467.34%,185,72.23%,17,80.44%,51,59.18%,15,44.20%,54,鋼鐵工業
224,2032,102.13%,38,-100.76%,46,0.00%,0,8.58%,44,9.34%,18,32.58%,49,鋼鐵工業
225,2033,70.69%,21,123.75%,46,0.00%,0,85.46%,48,60.58%,19,9.36%,43,鋼鐵工業
226,2034,-40.21%,27,-301.36%,141,-0.93%,7,22.67%,46,31.13%,17,38.90%,45,鋼鐵工業
227,2038,-63.48%,30,-676.73%,111,0.00%,0,117.86%,47,-20.29%,16,-9.77%,40,鋼鐵工業
228,2049,81.27%,20,846.55%,202,975.66%,170,108.51%,53,61.68%,12,49.09%,45,電機機械
229,2059,11.05%,33,75.31%,99,-48.64%,32,81.01%,49,-24.10%,16,39.90%,48,電子零組件業
230,2062,-47.80%,31,-512.89%,172,-3.84%,1,5.14%,41,-37.59%,18,27.86%,49,其他
231,2069,-12.22%,26,-373.20%,143,0.00%,0,35.36%,52,-4.22%,17,0.53%,47,鋼鐵工業
232,2101,111.38%,37,-178.29%,247,0.00%,5,51.01%,47,5.89%,14,12.62%,40,橡膠工業
233,2102,131.30%,19,-289.88%,213,0.00%,0,85.64%,43,27.32%,21,33.91%,42,橡膠工業
234,2103,-46.18%,25,-1259.91%,185,-16.63%,2,27.43%,53,-55.81%,19,20.89%,51,橡膠工業
235,2104,-16.30%,25,-496.17%,159,-35.58%,62,92.92%,43,-0.79%,16,2.77%,41,橡膠工業
236,2105,1.83%,31,-590.76%,213,-387.30%,63,18.11%,48,-23.74%,16,16.39%,48,橡膠工業
237,2106,-3.18%,31,-315.39%,161,-45.96%,11,2.88%,45,-19.49%,17,-3.41%,45,橡膠工業
